SORT1,SORT2,이름,주소,광역(특별)시/도,시/군/구,도로명,위도 경도,비고
반려 동반 가능 숙소,글램핑,오하브 글램핑,경기도 가평군 북면 꽃넘이길 43,경기도,가평군,북면 꽃넘이길 43,POINT (127.527012 37.896166),
반려 동반 가능 숙소,글램핑,힐포인트,경기도 용인시 수지구 동천로 541,경기도,용인시,수지구 동천로 541,POINT (127.0527565 37.3513547),
반려 동반 가능 숙소,애견 펜션,가평 2PM애견펜션,경기도 가평군 상면 청군로 690-13,경기도,가평군,상면 청군로 690-13,POINT (127.3521492 37.7958862),
반려 동반 가능 숙소,애견 펜션,가평 퍼피밸리 애견 펜션,경기도 가평군 북면 백둔로133번길 8,경기도,가평군,북면 백둔로133번길 8,POINT (127.4890274 37.8978139),
반려 동반 가능 숙소,애견 펜션,개댁 애견 펜션,경기도 가평군 상면 축령로 276-16,경기도,가평군,상면 축령로 276-16,POINT (127.3443695 37.774225),
반려 동반 가능 숙소,애견 펜션,까망베르애견풀빌라,경기도 가평군 북면 백둔로133번길 68-26,경기도,가평군,북면 백둔로133번길 68-26,POINT (127.4849106 37.8964418),
반려 동반 가능 숙소,애견 펜션,댕댕이계곡펜션,경기도 가평군 북면 가화로 1450,경기도,가평군,북면 가화로 1450,POINT (127.5100426 37.8974059),
반려 동반 가능 숙소,애견 펜션,더리조트멍,경기도 가평군 조종면 현등사길 55-279,경기도,가평군,조종면 현등사길 55-279,POINT (127.3452116 37.8602639),
반려 동반 가능 숙소,애견 펜션,도그더왈츠,경기도 가평군 북면 가화로 1462-39,경기도,가평군,북면 가화로 1462-39,POINT (127.5076875 37.89756250000001),
반려 동반 가능 숙소,애견 펜션,바비네하우스 애견펜션,경기도 가평군 가평읍 상지로 1040,경기도,가평군,가평읍 상지로 1040,POINT (127.4976335 37.7382739),
반려 동반 가능 숙소,애견 펜션,스위트몽,경기도 가평군 상면 축령로 102,경기도,가평군,상면 축령로 102,POINT (127.3609742 37.7745951),
반려 동반 가능 숙소,애견 펜션,우다다 애견 펜션,경기도 가평군 가평읍 태봉두밀로 522-101,경기도,가평군,가평읍 태봉두밀로 522-101,POINT (127.4415745 37.81596439999999),
반려 동반 가능 숙소,애견 펜션,플레이독 애견펜션,경기도 가평군 상면 수목원로 391-25,경기도,가평군,상면 수목원로 391-25,POINT (127.3539177 37.7465246),
반려 동반 가능 숙소,애견 펜션,피크닉댕댕,경기도 동두천시 천보산로 344,경기도,동두천시,천보산로 344,POINT (127.1081858 37.8669849),
반려 동반 가능 숙소,애견 펜션,멍라밸 독체,경기도 안산시 단원구 대부남동 1072-71,경기도,안산시,단원구 대부남동 1072-71,POINT (126.5789654 37.2287731),
반려 동반 가능 숙소,애견 펜션,도그베이 송추점,경기도 양주시 장흥면 호국로 542-20,경기도,양주시,장흥면 호국로 542-20,POINT (126.9745781 37.7179915),
반려 동반 가능 숙소,애견 펜션,몽이네 애견펜션,경기도 양평군 서종면 도장계곡길 54,경기도,양평군,서종면 도장계곡길 54,POINT (127.397516 37.602795),
반려 동반 가능 숙소,애견 펜션,밸런스독펜션,경기도 양평군 지평면 바깥섬부리1길 3-29,경기도,양평군,지평면 바깥섬부리1길 3-29,POINT (127.6555942 37.464216),
반려 동반 가능 숙소,애견 펜션,편안하개 애견펜션,경기도 양평군 양동면 양서북로 593-20,경기도,양평군,양동면 양서북로 593-20,POINT (127.7696475 37.4627804),
반려 동반 가능 숙소,애견 펜션,퐁당 애견펜션,경기도 양평군 용문면 망능길 4,경기도,양평군,용문면 망능길 4,POINT (127.6247684 37.5324077),
반려 동반 가능 숙소,애견 펜션,더블스테이 애견펜션 또또멍 연천1호점,경기도 연천군 미산면 노아로 670-16,경기도,연천군,미산면 노아로 670-16,POINT (126.9631635 38.0190656),
반려 동반 가능 숙소,애견 펜션,위드독펜션,경기도 연천군 미산면 노아로 670-102,경기도,연천군,미산면 노아로 670-102,POINT (126.9630281 38.0194929),
반려 동반 가능 숙소,애견 펜션,아임버디 애견펜션,경기도 파주시 탄현면 필승로 487-32,경기도,파주시,탄현면 필승로 487-32,POINT (126.6872542 37.784995),
반려 동반 가능 숙소,애견 펜션,플레이라움,경기도 파주시 적성면 장뜰길 335,경기도,파주시,적성면 장뜰길 335,POINT (126.9761905 37.973548),
반려 동반 가능 숙소,애견 펜션,더히로 플레이그라운드,경기도 포천시 화현면 봉화로 201-65,경기도,포천시,화현면 봉화로 201-65,POINT (127.2762541 37.8657167),
반려 동반 가능 숙소,애견 펜션,부엉이애견펜션,경기도 포천시 일동면 윗갈기길 23-12,경기도,포천시,일동면 윗갈기길 23-12,POINT (127.3238262 37.9676759),
반려 동반 가능 숙소,애견 펜션,쓰담쓰담애견펜션,경기도 포천시 일동면 사기막길 67-4,경기도,포천시,일동면 사기막길 67-4,POINT (127.3360407 37.97214),
반려 동반 가능 숙소,애견 펜션,콩알팬션,경기도 포천시 소흘읍 죽엽산로 391-3,경기도,포천시,소흘읍 죽엽산로 391-3,POINT (127.1676959 37.79879409999999),
반려 동반 가능 숙소,애견 펜션,로만티카 애견리조트,인천광역시 남동구 강화군 화도면 해안남로 1986,인천광역시,남동구 - 강화군,화도면 해안남로 1986,POINT (126.4125607 37.60460339999999),
반려 동반 가능 숙소,애견 펜션,리니스하우스,인천광역시 남동구 강화군 양도면 강화남로 1077-23,인천광역시,남동구 - 강화군,양도면 강화남로 1077-23,POINT (126.418167 37.69009039999999),
반려 동반 가능 숙소,애견 펜션,멍숲,인천광역시 남동구 강화군 불은면 중앙로 576-2,인천광역시,남동구 - 강화군,불은면 중앙로 576-2,POINT (126.4492394 37.7122828),
반려 동반 가능 숙소,애견 펜션,뷰나인 애견펜션,인천광역시 남동구 강화군 화도면 해안남로 2709-8,인천광역시,남동구 - 강화군,화도면 해안남로 2709-8,POINT (126.3782988 37.6363247),
반려 동반 가능 숙소,애견 펜션,러블리펫108,인천광역시 남동구 옹진군 영흥면 선재로 76-27,인천광역시,남동구 - 옹진군,영흥면 선재로 76-27,POINT (126.5313198 37.2358279),
반려 동반 가능 숙소,캠핑장,링크독애견테마파크 글램핑 & 오토캠핑장,경기도 가평군 설악면 신천중앙로28번길 101-60,경기도,가평군,설악면 신천중앙로28번길 101-60,POINT (127.4899281 37.6605421),
반려 동반 가능 숙소,캠핑장,새와참새 캠핑장,경기도 가평군 설악면 엄소리 47,경기도,가평군,설악면 엄소리 47,POINT (127.5084187 37.64384839999999),
반려 동반 가능 숙소,캠핑장,숲속의정원,경기도 가평군 북면 가화로 988-50,경기도,가평군,북면 가화로 988-50,POINT (127.5507032 37.8818607),
반려 동반 가능 숙소,캠핑장,아워포레스트,경기도 가평군 가평읍 가화로 440-113,경기도,가평군,가평읍 가화로 440-113,POINT (127.5090623 37.8551243),
반려 동반 가능 숙소,캠핑장,애견동반 올덴 카라반&펜션,경기도 가평군 청평면 고성리 22,경기도,가평군,청평면 고성리 22,POINT (127.5167133 37.7021377),
반려 동반 가능 숙소,캠핑장,캠플레이 캠핑장,경기도 가평군 상면 비룡로 1610-15,경기도,가평군,상면 비룡로 1610-15,POINT (127.2884438 37.7801487),
반려 동반 가능 숙소,캠핑장,더 드림핑 글램핑,경기도 남양주시 화도읍 북한강로 1630-22,경기도,남양주시,화도읍 북한강로 1630-22,POINT (127.3701474 37.6529829),
반려 동반 가능 숙소,캠핑장,물동네힐링캠프,경기도 남양주시 수동면 비룡로 945,경기도,남양주시,수동면 비룡로 945,POINT (127.3155777 37.7174654),
반려 동반 가능 숙소,캠핑장,사나래글램핑,경기도 양평군 용문면 중원산로 525,경기도,양평군,용문면 중원산로 525,POINT (127.6199337 37.546956),
반려 동반 가능 숙소,캠핑장,산음자연휴양림,경기도 양평군 단월면 고북길 347,경기도,양평군,단월면 고북길 347,POINT (127.6036758 37.5892267),
반려 동반 가능 숙소,캠핑장,여가,경기도 양평군 지평면 망미리 150,경기도,양평군,지평면 망미리 150,POINT (127.6569998 37.4388753),
반려 동반 가능 숙소,캠핑장,금은모래캠핑장,경기도 여주시 강변유원지길 105,경기도,여주시,강변유원지길 105,POINT (127.6662438 37.2932473),
반려 동반 가능 숙소,캠핑장,골드펫리조트,경기도 용인시 기흥구 기흥단지로 406,경기도,용인시,기흥구 기흥단지로 406,POINT (127.1369132 37.2188123),
반려 동반 가능 숙소,캠핑장,위드독스in포천,경기도 포천시 관인면 뗏마루길 128-26,경기도,포천시,관인면 뗏마루길 128-26,POINT (127.2516772 38.1204586),
반려 동반 가능 숙소,캠핑장,바다다 캠핑장,인천광역시 남동구 강화군 화도면 내리 2146-2,인천광역시,남동구 - 강화군,화도면 내리 2146-2,POINT (126.3799855 37.63701280000001),
반려 동반 가능 숙소,펜션,가평 구름위산책펜션&글램핑,경기도 가평군 조종면 운악청계로 238-38,경기도,가평군,조종면 운악청계로 238-38,POINT (127.3556119 37.8345064),
반려 동반 가능 숙소,펜션,개가사는그집,경기도 가평군 가평읍 복장포길 85,경기도,가평군,가평읍 복장포길 85,POINT (127.5040605 37.73920399999999),
반려 동반 가능 숙소,펜션,까망봉다리,경기도 가평군 조종면 명지산로 184-45,경기도,가평군,조종면 명지산로 184-45,POINT (127.3693734 37.8894202),
반려 동반 가능 숙소,펜션,더스테이힐링파크,경기도 가평군 설악면 한서로268번길 157,경기도,가평군,설악면 한서로268번길 157,POINT (127.5223905 37.6608446),
반려 동반 가능 숙소,펜션,도그버디,경기도 가평군 북면 화악산로356번길 44-145,경기도,가평군,북면 화악산로356번길 44-145,POINT (127.565951 37.9072302),
반려 동반 가능 숙소,펜션,동반 풀빌라펜션,경기도 가평군 가평읍 태봉두밀로596번길 84,경기도,가평군,가평읍 태봉두밀로596번길 84,POINT (127.4296086 37.8111506),
반려 동반 가능 숙소,펜션,마을 펜션,경기도 가평군 청평면 대성리 572-7,경기도,가평군,청평면 대성리 572-7,POINT (127.369095 37.6873494),
반려 동반 가능 숙소,펜션,멍밸리,경기도 가평군 상면 수목원로164번길 16,경기도,가평군,상면 수목원로164번길 16,POINT (127.3620765 37.7627843),
반려 동반 가능 숙소,펜션,모나코펜션,경기도 가평군 상면 임초밤안골로 252,경기도,가평군,상면 임초밤안골로 252,POINT (127.3640582 37.7505642),
반려 동반 가능 숙소,펜션,반디빌리지펜션,경기도 가평군 설악면 묵안로 287,경기도,가평군,설악면 묵안로 287,POINT (127.5075981 37.6454218),
반려 동반 가능 숙소,펜션,보니하니,경기도 가평군 상면 임초리 160,경기도,가평군,상면 임초리 160,POINT (127.3721885 37.75503459999999),
반려 동반 가능 숙소,펜션,빌라퍼즈,경기도 가평군 설악면 유명로 2150-20,경기도,가평군,설악면 유명로 2150-20,POINT (127.4610628 37.70247630000001),
반려 동반 가능 숙소,펜션,스테이엘 펜션,경기도 가평군 상면 수목원로386번길 14-19,경기도,가평군,상면 수목원로386번길 14-19,POINT (127.3509977 37.7492262),
반려 동반 가능 숙소,펜션,아다마스펜션,경기도 가평군 상면 안말길 55-91,경기도,가평군,상면 안말길 55-91,POINT (127.2844608 37.78410259999999),
반려 동반 가능 숙소,펜션,애프터눈 가든,경기도 가평군 상면 둔덕말길 13-120,경기도,가평군,상면 둔덕말길 13-120,POINT (127.3169697 37.7927363),
반려 동반 가능 숙소,펜션,어부바 펜션,경기도 가평군 설악면 유명로 625-52,경기도,가평군,설악면 유명로 625-52,POINT (127.4921618 37.603132),
반려 동반 가능 숙소,펜션,오블리펜션,경기도 가평군 상면 임초밤안골로 251,경기도,가평군,상면 임초밤안골로 251,POINT (127.3641509 37.7500691),
반려 동반 가능 숙소,펜션,위드멍 애견동반펜션,경기도 가평군 상면 수목원로 417-17,경기도,가평군,상면 수목원로 417-17,POINT (127.3539554 37.7445523),
반려 동반 가능 숙소,펜션,자니펜션,경기도 가평군 북면 백둔로133번길 12-12,경기도,가평군,북면 백둔로133번길 12-12,POINT (127.48809 37.8975585),
반려 동반 가능 숙소,펜션,포시즌밸리,경기도 가평군 북면 백둔로 389,경기도,가평군,북면 백둔로 389,POINT (127.4657733 37.9015304),
반려 동반 가능 숙소,펜션,델라고펜션,경기도 양평군 용문면 금곡리 366-3,경기도,양평군,용문면 금곡리 366-3,POINT (127.6139999 37.5082873),
반려 동반 가능 숙소,펜션,메리도그하우스,경기도 양평군 청운면 가현길 440,경기도,양평군,청운면 가현길 440,POINT (127.7300292 37.5204146),
반려 동반 가능 숙소,펜션,슬로우인 풀빌라,경기도 양평군 단월면 섬이길 329-11,경기도,양평군,단월면 섬이길 329-11,POINT (127.5793832 37.627681),
반려 동반 가능 숙소,펜션,오늘하루고마웠다펜션,경기도 양평군 옥천면 옥천돌고갯길 8-50,경기도,양평군,옥천면 옥천돌고갯길 8-50,POINT (127.4686751 37.5151451),
반려 동반 가능 숙소,펜션,주주송 독채펜션,경기도 양평군 옥천면 중미산로 1231,경기도,양평군,옥천면 중미산로 1231,POINT (127.4601556 37.5851851),
반려 동반 가능 숙소,펜션,팔레 드 차밍,경기도 양평군 양동면 아래배내1길 36-28,경기도,양평군,양동면 아래배내1길 36-28,POINT (127.7818686 37.3900808),
반려 동반 가능 숙소,펜션,바크라우더,경기도 파주시 탄현면 법흥로 82-47,경기도,파주시,탄현면 법흥로 82-47,POINT (126.7067342 37.7767569),
반려 동반 가능 숙소,펜션,오블라디 풀빌라,경기도 파주시 문산읍 문현말길 113-14,경기도,파주시,문산읍 문현말길 113-14,POINT (126.7710152 37.8465564),
반려 동반 가능 숙소,펜션,더케이즈펜션,경기도 포천시 일동면 운악청계로1480번길 49,경기도,포천시,일동면 운악청계로1480번길 49,POINT (127.3408355 37.94009569999999),
반려 동반 가능 숙소,펜션,포포펜션,경기도 포천시 화현면 봉화로 315-69,경기도,포천시,화현면 봉화로 315-69,POINT (127.275625 37.874766),
반려 동반 가능 숙소,펜션,하늘ZIP펜션,경기도 포천시 일동면 화동로857번길 5-40,경기도,포천시,일동면 화동로857번길 5-40,POINT (127.3069266 37.9406061),
반려 동반 가능 숙소,펜션,참쉼터,경기도 화성시 남양읍 장덕북길20번길 8-15,경기도,화성시,남양읍 장덕북길 20번길 8-15,POINT (126.8043309 37.1599694),
반려 동반 가능 숙소,펜션,무무펜션,인천광역시 남동구 강화군 화도면 사기리 98-2,인천광역시,남동구 - 강화군,화도면 사기리 98-2,POINT (126.4599632 37.6198247),
반려 동반 가능 숙소,펜션,섬섬한옥,인천광역시 남동구 강화군 강화읍 궁골길5번길 8-3,인천광역시,남동구 - 강화군,강화읍 궁골길5번길 8-3,POINT (126.4809468 37.7521454),
반려 동반 가능 숙소,펜션,어나더153,인천광역시 남동구 강화군 화도면 해안남로 1669-12,인천광역시,남동구 - 강화군,화도면 해안남로 1669-12,POINT (126.4375262 37.5944541),
반려 동반 가능 숙소,펜션,올라펜션,인천광역시 남동구 옹진군 영흥면 선재로 76-10,인천광역시,남동구 - 옹진군,영흥면 선재로 76-10,POINT (126.5314026 37.23529959999999),
반려 동반 가능 숙소,호텔,라까사 호텔 서울,서울특별시 강남구 도산대로1길 83,서울특별시,강남구,도산대로1길 83,POINT (127.0194807 37.52210590000001),
반려 동반 가능 숙소,호텔,호텔 카푸치노,서울특별시 강남구 봉은사로 155,서울특별시,강남구,봉은사로 155,POINT (127.0315248 37.5067961),
반려 동반 가능 숙소,호텔,비스타 워커힐 서울,서울특별시 광진구 워커힐로 177,서울특별시,광진구,워커힐로 177,POINT (127.1112096 37.5543699),
반려 동반 가능 숙소,호텔,라이즈  오토그래프 컬렉션,서울특별시 마포구 양화로 130,서울특별시,마포구,양화로 130,POINT (126.9213026 37.5543688),
반려 동반 가능 숙소,호텔,그랜드 머큐어 앰배서더 호텔 앤 레지던스 서울 용산,서울특별시 용산구 청파로20길 95,서울특별시,용산구,청파로20길 95,POINT (126.9611002 37.5322959),
반려 동반 가능 숙소,호텔,레스케이프 호텔,서울특별시 중구 퇴계로 67,서울특별시,중구,퇴계로 67,POINT (126.979724 37.5601147),
반려 동반 가능 숙소,호텔,밀레니엄 힐튼 서울,서울특별시 중구 소월로 50,서울특별시,중구,소월로 50,POINT (126.9757787 37.5552286),
반려 동반 가능 숙소,호텔,프레이저플레이스 센트럴,서울특별시 중구 통일로 78,서울특별시,중구,통일로 78,POINT (126.9697425 37.56255489999999),
반려 동반 가능 숙소,호텔,오크우드 프리미어 인천,인천광역시 연수구 컨벤시아대로 165,인천광역시,연수구,컨벤시아대로 165,POINT (126.644207 37.389264),
반려 동반 가능 숙소,호텔,더 위크앤 리조트,인천광역시 중구 용유서로 379,인천광역시,중구,용유서로 379,POINT (126.3709376 37.45036959999999),
반려 동반 가능 식당,남미 음식,갓잇 일산점,경기도 고양시 일산동구 일산로394번길 19-3 1층,경기도,고양시,일산동구 일산로394번길 19-3 1층,POINT (126.7819668 37.6704474),
반려 동반 가능 식당,남미 음식,캘리인더볼,서울특별시 서대문구 연희로 32-1 1층,서울특별시,서대문구,연희로 32-1 1층,POINT (126.9272861 37.56160309999999),
반려 동반 가능 식당,동남아 음식,라마네의식주,경기도 성남시 분당구 산운로160번길 20-9 1층 101호,경기도,성남시,분당구 산운로160번길 20-9 1층 101호,POINT (127.0785698 37.3928074),
반려 동반 가능 식당,동남아 음식,반치앙마이 위례,경기도 성남시 수정구 위례광장로 70 1층 131호,경기도,성남시,수정구 위례광장로 70 1층 131호,POINT (127.1410592 37.4644951),
반려 동반 가능 식당,동남아 음식,꾸안,경기도 수원시 팔달구 화서문로 60 1층,경기도,수원시,팔달구 화서문로 60 1층,POINT (127.0146984 37.2854987),
반려 동반 가능 식당,동남아 음식,포이남,경기도 의정부시 용민로 477 103호,경기도,의정부시,용민로 477 103호,POINT (127.1008546 37.74825999999999),
반려 동반 가능 식당,동남아 음식,까폼,서울특별시 강남구 선릉로153길 18 지하1층,서울특별시,강남구,선릉로153길 18 지하1층,POINT (127.0380967 37.52485540000001),
반려 동반 가능 식당,동남아 음식,쏭타이 역삼점,서울특별시 강남구 테헤란로39길 51 옥산빌딩 1층 102호,서울특별시,강남구,테헤란로39길 51 옥산빌딩 1층 102호,POINT (127.0403591 37.50564070000001),
반려 동반 가능 식당,동남아 음식,리틀방콕 고덕점,서울특별시 강동구 동남로79길 26 고덕아이파크 상가 1층,서울특별시,강동구,동남로79길 26 고덕아이파크 상가 1층,POINT (127.1551361 37.5598125),
반려 동반 가능 식당,동남아 음식,반둥식당,서울특별시 광진구 아차산로 200 커먼그라운드 3층,서울특별시,광진구,아차산로 200 커먼그라운드 3층,POINT (127.0655 37.54143750000001),
반려 동반 가능 식당,동남아 음식,라오삐악,서울특별시 마포구 희우정로10길 5,서울특별시,마포구,희우정로10길 5,POINT (126.9044503 37.5527037),
반려 동반 가능 식당,동남아 음식,The Andaman,서울특별시 서초구 남부순환로 2636 성문빌딩 1층 101-2호,서울특별시,서초구,남부순환로 2636 성문빌딩 1층 101-2호,POINT (127.0388942 37.4847134),
반려 동반 가능 식당,동남아 음식,냐항,서울특별시 성동구 연무장길 9-6 1층,서울특별시,성동구,연무장길 9-6 1층,POINT (127.0510203 37.5439077),
반려 동반 가능 식당,동남아 음식,레몬그라스,서울특별시 성동구 연무장길 41-26 1층,서울특별시,성동구,연무장길 41-26 1층,POINT (127.0542589 37.54337880000001),
반려 동반 가능 식당,동남아 음식,리틀방콕 왕십리뉴타운점,서울특별시 성동구 왕십리로 410,서울특별시,성동구,왕십리로 410,POINT (127.0259971 37.566583),
반려 동반 가능 식당,동남아 음식,봉쥬르,서울특별시 성동구 상원2길 7,서울특별시,성동구,상원2길 7,POINT (127.049629 37.54586700000001),
반려 동반 가능 식당,동남아 음식,동방,서울특별시 성북구 보문로30라길 20 1층,서울특별시,성북구,보문로30라길 20 1층,POINT (127.0186549 37.5898189),
반려 동반 가능 식당,동남아 음식,골든타이,서울특별시 송파구 위례성대로 66 1층,서울특별시,송파구,위례성대로 66 1층,POINT (127.119429 37.514683),
반려 동반 가능 식당,동남아 음식,촙촙 롯데월드몰점,서울특별시 송파구 올림픽로 300 롯데월드타워앤롯데월드몰 지하1층 3355,서울특별시,송파구,올림픽로 300 롯데월드타워앤롯데월드몰 지하1층 3355,POINT (127.1049811 37.5143802),
반려 동반 가능 식당,동남아 음식,효뜨,서울특별시 용산구 한강대로40가길 6 1층 2층,서울특별시,용산구,한강대로40가길 6 1층 2층,POINT (126.9712949 37.5303121),
반려 동반 가능 식당,동남아 음식,알로이 짱,서울특별시 중랑구 용마산로115길 71 2층,서울특별시,중랑구,용마산로115길 71 2층,POINT (127.0964187 37.5981518),
반려 동반 가능 식당,샐러드/샌드위치,샤카보울 일산비치점,경기도 고양시 일산동구 대산로11번길 32-13 1층 102호,경기도,고양시,일산동구 대산로11번길 32-13 1층 102호,POINT (126.7730199 37.66852900000001),
반려 동반 가능 식당,샐러드/샌드위치,선셋스위밍 샌드위치,서울특별시 강남구 언주로170길 23 1층,서울특별시,강남구,언주로170길 23 1층,POINT (127.0355756 37.5268125),
반려 동반 가능 식당,샐러드/샌드위치,위트앤미트 강남점,서울특별시 강남구 강남대로110길 32 1층,서울특별시,강남구,강남대로110길 32 1층,POINT (127.0274771 37.5036414),
반려 동반 가능 식당,샐러드/샌드위치,파지티브호텔 플래그십,서울특별시 강남구 압구정로46길 77,서울특별시,강남구,압구정로46길 77,POINT (127.119102 37.50400500000001),
반려 동반 가능 식당,샐러드/샌드위치,슬로우캘리 신도림점,서울특별시 구로구 경인로59길 7 상가동 1층 101호,서울특별시,구로구,경인로59길 7 상가동 1층 101호,POINT (126.8828721 37.5055421),
반려 동반 가능 식당,샐러드/샌드위치,케슬리,서울특별시 노원구 상계로1길 74 113호,서울특별시,노원구,상계로1길 74 113호,POINT (127.061516 37.6594037),
반려 동반 가능 식당,샐러드/샌드위치,반미프엉,"서울특별시 마포구 성미산로29길 20 1, 2, 3층",서울특별시,마포구,"성미산로29길 20 1, 2, 3층",POINT (126.9224369 37.5649537),
반려 동반 가능 식당,샐러드/샌드위치,소스포소스,서울특별시 마포구 독막로 147-7,서울특별시,마포구,독막로 147-7,POINT (126.9297462 37.5482267),
반려 동반 가능 식당,샐러드/샌드위치,브럭시 롯데월드몰점,서울특별시 송파구 올림픽로 300,서울특별시,송파구,올림픽로 300,POINT (127.1043177 37.5136408),
반려 동반 가능 식당,샐러드/샌드위치,썬더롤스,서울특별시 영등포구 국제금융로 10 IFC몰 L1층 144호,서울특별시,영등포구,국제금융로 10 IFC몰 L1층 144호,POINT (126.9255491 37.5251644),
반려 동반 가능 식당,샐러드/샌드위치,샐러드셀러,서울특별시 용산구 대사관로5길 28,서울특별시,용산구,대사관로5길 28,POINT (127.0003693 37.5353922),
반려 동반 가능 식당,샐러드/샌드위치,카사블랑카 샌드위치,서울특별시 용산구 신흥로 35,서울특별시,용산구,신흥로 35,POINT (126.9870995 37.5416063),
반려 동반 가능 식당,샐러드/샌드위치,실리그린,서울특별시 종로구 계동길 59,서울특별시,종로구,계동길 59,POINT (126.9866541 37.5798977),
반려 동반 가능 식당,샐러드/샌드위치,카프샌드,인천광역시 남동구 남동대로733번길 56-7 1층,인천광역시,남동구,남동대로733번길 56-7 1층,POINT (126.7039899 37.4484783),
반려 동반 가능 식당,양식,멜로우터틀,경기도 고양시 일산동구 강촌로26번길 73-22 1층,경기도,고양시,일산동구 강촌로26번길 73-22 1층,POINT (126.7831274 37.6447892),
반려 동반 가능 식당,양식,삼식당,경기도 고양시 덕양구 삼원안길 44 1층,경기도,고양시,덕양구 삼원안길 44 1층,POINT (126.8735431 37.6359284),
반려 동반 가능 식당,양식,에그앤피넛,경기도 고양시 일산동구 일산로380번길 63-32 1층,경기도,고양시,일산동구 일산로380번길 63-32 1층,POINT (126.780518 37.6752325),
반려 동반 가능 식당,양식,파스타힐,경기도 고양시 일산동구 일산로463번길 15-4 1층,경기도,고양시,일산동구 일산로463번길 15-4 1층,POINT (126.7754095 37.6733771),
반려 동반 가능 식당,양식,힐하우스,경기도 고양시 덕양구 동헌로 385-18,경기도,고양시,덕양구 동헌로 385-18,POINT (126.768499 37.6837881),
반려 동반 가능 식당,양식,오로르,경기도 김포시 해평로 125-36 1층,경기도,김포시,해평로 125-36 1층,POINT (126.6603732 37.6521278),
반려 동반 가능 식당,양식,피렌체 테이블,경기도 남양주시 별내중앙로 84,경기도,남양주시,별내중앙로 84,POINT (127.1227414 37.6486472),
반려 동반 가능 식당,양식,립플레이,경기도 부천시 부일로 718 2층,경기도,부천시,부일로 718 2층,POINT (126.8096991 37.48506949999999),
반려 동반 가능 식당,양식,여월가든,경기도 부천시 원미로281번길 123 동불사,경기도,부천시,원미로281번길 123 동불사,POINT (126.7925637 37.5115905),
반려 동반 가능 식당,양식,라스토리아1001,경기도 성남시 분당구 판교공원로3길 24,경기도,성남시,분당구 판교공원로3길 24,POINT (127.0889006 37.3910302),
반려 동반 가능 식당,양식,로우테라스,경기도 성남시 수정구 청계산로5길 8 1층,경기도,성남시,수정구 청계산로5길 8 1층,POINT (127.0999537 37.4247524),
반려 동반 가능 식당,양식,루트스테이,경기도 성남시 분당구 정자일로 140,경기도,성남시,분당구 정자일로 140,POINT (127.1066793 37.3625722),
반려 동반 가능 식당,양식,월페이퍼,경기도 성남시 분당구 새마을로 101,경기도,성남시,분당구 새마을로 101,POINT (127.1415699 37.38358789999999),
반려 동반 가능 식당,양식,149플라밍고,경기도 수원시 영통구 법조로149번길 47 1층,경기도,수원시,영통구 법조로149번길 47 1층,POINT (127.0711728 37.2939348),
반려 동반 가능 식당,양식,더테라스,경기도 수원시 영통구 삼성로 194 4층,경기도,수원시,영통구 삼성로 194 4층,POINT (127.0586898 37.2600731),
반려 동반 가능 식당,양식,봉주르하와이,경기도 수원시 영통구 광교호수공원로 80 앨리웨이상가 앨리키즈동1층101~103,경기도,수원시,영통구 광교호수공원로 80 앨리웨이상가 앨리키즈동1층101~103,POINT (127.0625326 37.2744614),
반려 동반 가능 식당,양식,비원,경기도 수원시 팔달구 신풍로63번길 3-1,경기도,수원시,팔달구 신풍로63번길 3-1,POINT (127.013588 37.286587),
반려 동반 가능 식당,양식,뽁식당 호매실점,경기도 수원시 권선구 금곡로196번길 62 SJ타워 1층 109호~111호,경기도,수원시,권선구 금곡로196번길 62 SJ타워 1층 109호~111호,POINT (126.9408213 37.27104190000001),
반려 동반 가능 식당,양식,커들,경기도 수원시 권선구 칠보로88번길 155-11 1층,경기도,수원시,권선구 칠보로88번길 155-11 1층,POINT (126.9418899 37.2623938),
반려 동반 가능 식당,양식,투섹션,경기도 수원시 영통구 법조로 25 SK레이크타워 1층 121~123호,경기도,수원시,영통구 법조로 25 SK레이크타워 1층 121~123호,POINT (127.0604376 37.2869757),
반려 동반 가능 식당,양식,팻보이그라운드,경기도 수원시 팔달구 화서문로72번길 27-8 1층,경기도,수원시,팔달구 화서문로72번길 27-8 1층,POINT (127.0171277 37.28478199999999),
반려 동반 가능 식당,양식,PPK 키친,경기도 수원시 팔달구 인계로124번길 27-18 신일빌딩 1층,경기도,수원시,팔달구 인계로124번길 27-18 신일빌딩 1층,POINT (127.0315638 37.2656864),
반려 동반 가능 식당,양식,베러스퀘어,경기도 시흥시 달월길 87,경기도,시흥시,달월길 87,POINT (126.7536026 37.3781891),
반려 동반 가능 식당,양식,뽁식당 배곧점,경기도 시흥시 서울대학로264번길 25 블루동 2층,경기도,시흥시,서울대학로264번길 25 블루동 2층,POINT (126.7841031 37.4389636),
반려 동반 가능 식당,양식,그릴 휘바,경기도 양주시 장흥면 호국로550번길 107,경기도,양주시,장흥면 호국로550번길 107,POINT (126.980305 37.7161988),
반려 동반 가능 식당,양식,로그하우스,경기도 양주시 어하고개로 127,경기도,양주시,어하고개로 127,POINT (127.1085618 37.8140412),
